symbol,signal_type,direction,entry_price,exit_price,sl,target,pnl,pnl_pct,exit_type,entry_time,exit_time,hold_bars,zone_quality,reason
ETHUSDT,GHST_SE,LONG,2734.98,2711.1885714285713,2711.1885714285713,2782.5628571428574,-1161.26,-0.87,SL,2026-01-30 07:05:00,2026-01-30 09:50:00,33,5,GHST_SE: Demand zone retest [2716-2758] Q=3 RSI=43
SOLUSDT,GHST_SE,LONG,124.27,127.2,121.29071428571429,127.2,2709.32,2.36,TARGET,2026-01-01 08:00:00,2026-01-01 23:45:00,189,6,GHST_SE: Demand zone retest [121-124] Q=4 RSI=22
SOLUSDT,GHST_BE,SHORT,127.31,130.2892857142857,130.2892857142857,124.16,-2953.49,-2.34,SL,2026-01-02 03:15:00,2026-01-02 16:15:00,156,5,GHST_BE: Supply zone retest [127-130] Q=3 RSI=85
SOLUSDT,GHST_SE,LONG,131.29,133.7,128.55928571428572,136.75142857142853,2079.39,1.84,TIME,2026-01-02 17:40:00,2026-01-04 03:00:00,400,3,GHST_SE: Demand zone retest [129-132] Q=3 RSI=46
SOLUSDT,GHST_SE,LONG,135.26,134.61499999999998,134.61499999999998,136.55,-695.63,-0.48,SL,2026-01-04 16:00:00,2026-01-04 18:05:00,25,3,GHST_SE: Demand zone retest [135-137] Q=2 RSI=58
SOLUSDT,GHST_BE,SHORT,137.08,137.08,140.49464285714285,132.18,-120.26,0.0,SL,2026-01-05 01:40:00,2026-01-05 18:45:00,205,4,GHST_BE: Supply zone retest [137-140] Q=2 RSI=80
SOLUSDT,GHST_BE,SHORT,138.07,137.1,140.4325,137.1,724.06,0.7,TARGET,2026-01-05 19:50:00,2026-01-06 00:35:00,57,3,GHST_BE: Supply zone retest [137-140] Q=2 RSI=71
SOLUSDT,GHST_BE,SHORT,138.08,140.3892857142857,140.3892857142857,137.1,-1914.12,-1.67,SL,2026-01-06 01:35:00,2026-01-06 14:10:00,151,2,GHST_BE: Supply zone retest [137-140] Q=2 RSI=51
SOLUSDT,GHST_BE,SHORT,141.86,139.18142857142857,143.19928571428574,139.18142857142857,2138.66,1.89,TARGET,2026-01-06 15:35:00,2026-01-06 16:30:00,11,4,GHST_BE: Supply zone retest [140-143] Q=4 RSI=42
SOLUSDT,GHST_SE,LONG,138.53,139.66,135.21285714285713,139.66,861.77,0.82,TARGET,2026-01-06 17:30:00,2026-01-06 21:10:00,44,5,GHST_SE: Demand zone retest [136-138] Q=4 RSI=27
