S.No,Date,Strategy,Symbol,Signal_Type,Direction,Strike,Lot_Size,Entry_Time,Exit_Time,Entry_Price,Exit_Price,Capital_Used,PnL,PnL_Pct,Exit_Reason,Delta,IV,Status
35,2026-02-23,Survivor,BANKNIFTY,SELL_PE,SELL,60742.26142857143,30,2026-02-23T10:30:49.006299,2026-02-23T10:36:55.547143,256.37,207.97,7691.1,1345.89,17.5,TARGET_HIT,-0.3169,15.0,CLOSED
36,2026-02-23,Survivor,BANKNIFTY,SELL_PE,SELL,60704.59142857143,30,2026-02-23T10:36:37.062904,2026-02-23T10:42:43.144707,247.43,205.59,7422.9,1149.28,15.48,TARGET_HIT,-0.3092,15.0,CLOSED
37,2026-02-23,Survivor,SENSEX,SELL_PE,SELL,82506.58714285716,20,2026-02-23T10:36:38.631197,2026-02-23T10:42:45.486113,297.98,284.41,5959.6,167.36,2.81,TARGET_HIT,-0.2983,15.0,CLOSED
38,2026-02-23,Survivor,BANKNIFTY,SELL_PE,SELL,60676.99142857143,30,2026-02-23T10:42:19.037637,2026-02-23T10:48:45.464467,245.47,220.28,7364.1,649.59,8.82,TARGET_HIT,-0.3084,15.0,CLOSED
39,2026-02-23,Survivor,SENSEX,SELL_PE,SELL,82429.34714285715,20,2026-02-23T10:42:20.753698,2026-02-23T10:48:47.889727,295.56,279.35,5911.2,220.29,3.73,TARGET_HIT,-0.2975,15.0,CLOSED
40,2026-02-23,Survivor,BANKNIFTY,SELL_PE,SELL,60600.44142857143,30,2026-02-23T10:48:08.661505,2026-02-23T10:54:34.764378,241.29,176.18,7238.7,1848.22,25.53,TARGET_HIT,-0.3067,15.0,CLOSED
41,2026-02-23,Survivor,SENSEX,SELL_PE,SELL,82363.02714285716,20,2026-02-23T10:48:18.325652,2026-02-23T10:54:38.391121,293.6,243.38,5872.0,900.93,15.34,TARGET_HIT,-0.2969,15.0,CLOSED
42,2026-02-23,Survivor,BANKNIFTY,SELL_PE,SELL,60664.09142857143,30,2026-02-23T10:54:10.794257,2026-02-23T11:00:25.651648,244.99,191.82,7349.7,1489.44,20.27,TARGET_HIT,-0.3082,15.0,CLOSED
43,2026-02-23,Survivor,SENSEX,SELL_PE,SELL,82415.60714285714,20,2026-02-23T10:54:13.779640,2026-02-23T11:00:28.221728,295.27,261.43,5905.4,573.22,9.71,TARGET_HIT,-0.2974,15.0,CLOSED
44,2026-02-23,Survivor,BANKNIFTY,SELL_PE,SELL,60702.26142857143,30,2026-02-23T10:59:58.209966,2026-02-23T11:06:16.177403,254.09,209.24,7622.7,1239.4,16.26,TARGET_HIT,-0.316,15.0,CLOSED
45,2026-02-23,Survivor,BANKNIFTY,SELL_PE,SELL,60708.41142857143,30,2026-02-23T11:05:48.862308,2026-02-23T11:12:07.436524,254.41,196.61,7632.3,1627.96,21.33,TARGET_HIT,-0.3161,15.0,CLOSED
46,2026-02-23,Survivor,BANKNIFTY,SELL_PE,SELL,60714.64142857143,30,2026-02-23T11:11:37.936315,2026-02-23T11:18:08.652440,248.22,202.5,7446.6,1265.69,17.0,TARGET_HIT,-0.3095,15.0,CLOSED
47,2026-02-23,Survivor,SENSEX,SELL_PE,SELL,82465.99714285714,20,2026-02-23T11:11:39.650101,2026-02-23T11:18:11.418915,296.63,258.26,5932.6,663.78,11.19,TARGET_HIT,-0.2979,15.0,CLOSED
48,2026-02-23,Survivor,BANKNIFTY,SELL_PE,SELL,60697.74142857143,30,2026-02-23T11:17:40.033794,2026-02-23T11:24:01.481114,246.87,209.46,7406.1,1016.32,13.72,TARGET_HIT,-0.3089,15.0,CLOSED
49,2026-02-23,Survivor,SENSEX,SELL_PE,SELL,82477.28714285715,20,2026-02-23T11:17:41.923273,2026-02-23T11:24:04.262233,297.07,285.73,5941.4,122.94,2.07,TARGET_HIT,-0.298,15.0,CLOSED
50,2026-02-23,Survivor,BANKNIFTY,SELL_PE,SELL,60659.39142857143,30,2026-02-23T11:23:30.935084,2026-02-23T11:29:56.297129,244.63,194.26,7338.9,1405.42,19.15,TARGET_HIT,-0.3081,15.0,CLOSED
51,2026-02-23,Survivor,SENSEX,SELL_PE,SELL,82397.64714285715,20,2026-02-23T11:23:32.998345,2026-02-23T11:29:59.084015,294.74,260.73,5894.8,576.6,9.78,TARGET_HIT,-0.2973,15.0,CLOSED
52,2026-02-23,Survivor,BANKNIFTY,SELL_PE,SELL,60657.49142857143,30,2026-02-23T11:29:25.291161,2026-02-23T11:35:51.731291,244.64,197.31,7339.2,1314.33,17.91,TARGET_HIT,-0.3081,15.0,CLOSED
53,2026-02-23,Survivor,SENSEX,SELL_PE,SELL,82392.42714285715,20,2026-02-23T11:29:27.415390,2026-02-23T11:35:54.277859,294.49,262.69,5889.8,532.37,9.04,TARGET_HIT,-0.2972,15.0,CLOSED
54,2026-02-23,Survivor,BANKNIFTY,SELL_PE,SELL,60635.99142857143,30,2026-02-23T11:35:21.068111,2026-02-23T11:41:43.530263,243.32,198.72,7299.6,1232.31,16.88,TARGET_HIT,-0.3076,15.0,CLOSED
55,2026-02-23,Survivor,SENSEX,SELL_PE,SELL,82365.95714285715,20,2026-02-23T11:35:22.805404,2026-02-23T11:41:46.206928,293.79,244.61,5875.8,880.16,14.98,TARGET_HIT,-0.2969,15.0,CLOSED
56,2026-02-23,Survivor,BANKNIFTY,SELL_PE,SELL,60635.19142857143,30,2026-02-23T11:41:12.867213,2026-02-23T11:47:34.970270,243.19,203.31,7295.7,1090.86,14.95,TARGET_HIT,-0.3075,15.0,CLOSED
57,2026-02-23,Survivor,SENSEX,SELL_PE,SELL,82414.04714285715,20,2026-02-23T11:41:14.607605,2026-02-23T11:47:37.546441,295.07,260.16,5901.4,594.46,10.07,TARGET_HIT,-0.2974,15.0,CLOSED
58,2026-02-23,Survivor,BANKNIFTY,SELL_PE,SELL,60609.29142857143,30,2026-02-23T11:47:08.931756,2026-02-23T11:53:16.199168,241.86,190.6,7255.8,1432.4,19.74,TARGET_HIT,-0.307,15.0,CLOSED
59,2026-02-23,Survivor,SENSEX,SELL_PE,SELL,82401.76714285715,20,2026-02-23T11:47:10.604163,2026-02-23T11:53:18.204237,294.76,261.67,5895.2,558.17,9.47,TARGET_HIT,-0.2973,15.0,CLOSED
60,2026-02-23,Survivor,BANKNIFTY,SELL_PE,SELL,60616.61142857143,30,2026-02-23T11:52:54.417837,2026-02-23T11:59:03.731306,248.75,199.26,7462.5,1378.99,18.48,TARGET_HIT,-0.314,15.0,CLOSED
61,2026-02-23,Survivor,BANKNIFTY,SELL_PE,SELL,60616.69142857143,30,2026-02-23T11:58:37.517975,2026-02-23T12:04:42.431837,242.17,198.1,7265.1,1216.55,16.75,TARGET_HIT,-0.3071,15.0,CLOSED
62,2026-02-23,Survivor,SENSEX,SELL_PE,SELL,82408.29714285715,20,2026-02-23T11:58:38.834090,2026-02-23T12:04:44.649140,295.03,260.03,5900.6,596.27,10.11,TARGET_HIT,-0.2974,15.0,CLOSED
63,2026-02-23,Survivor,BANKNIFTY,SELL_PE,SELL,60606.49142857143,30,2026-02-23T12:04:18.139639,2026-02-23T12:10:24.259031,241.56,193.6,7246.8,1333.42,18.4,TARGET_HIT,-0.3069,15.0,CLOSED
