S.No,Symbol,Strategy,Entry Time,Exit Time,Per lot,No fo lots,Entry,Target,SL,Exit,Amount Invested,Amount After Close,PnL,Balance,Status,PnL %,Spot Price,Delta,Exit Reason
49,BANKNIFTY 60892 PE,Survivor,18/02/2026 10:34,18/02/2026 10:40,30,1,197.19,39.44,295.78,144.05,5915.7,4321.5,1594.2,229131.9,Closed,26.9,60892.43,-0.339,TARGET_HIT
50,SENSEX 82812 PE,Survivor,18/02/2026 10:34,18/02/2026 10:40,20,1,241.51,48.3,362.26,196.13,4830.2,3922.6,907.6,230039.5,Closed,18.8,82811.83,-0.3301,TARGET_HIT
51,NIFTY 25523 PE,Survivor,18/02/2026 10:40,18/02/2026 10:45,65,1,75.84,15.17,113.76,58.07,4929.6,3774.55,1155.05,231194.55,Closed,23.4,25522.9,-0.3304,TARGET_HIT
52,BANKNIFTY 60869 PE,Survivor,18/02/2026 10:40,18/02/2026 10:45,30,1,194.0,38.8,291.0,143.55,5820.0,4306.5,1513.5,232708.05,Closed,26.0,60868.89,-0.3356,TARGET_HIT
53,SENSEX 82771 PE,Survivor,18/02/2026 10:40,18/02/2026 10:45,20,1,235.71,47.14,353.56,183.9,4714.2,3678.0,1036.2,233744.25,Closed,22.0,82771.04,-0.3247,TARGET_HIT
54,BANKNIFTY 60863 PE,Survivor,18/02/2026 10:45,18/02/2026 10:51,30,1,195.75,39.15,293.62,130.48,5872.5,3914.4,1958.1,235702.35,Closed,33.3,60863.28,-0.3384,TARGET_HIT
55,NIFTY 25541 PE,Survivor,18/02/2026 10:51,18/02/2026 10:56,65,1,76.31,15.26,114.47,55.24,4960.15,3590.6,1369.55,237071.9,Closed,27.6,25541.25,-0.331,TARGET_HIT
56,BANKNIFTY 60882 PE,Survivor,18/02/2026 10:51,18/02/2026 10:56,30,1,194.61,38.92,291.92,130.81,5838.3,3924.3,1914.0,238985.9,Closed,32.8,60882.44,-0.3359,TARGET_HIT
57,SENSEX 82832 PE,Survivor,18/02/2026 10:51,18/02/2026 10:56,20,1,237.18,47.44,355.77,172.02,4743.6,3440.4,1303.2,240289.1,Closed,27.5,82832.48,-0.3253,TARGET_HIT
58,NIFTY 25555 PE,Survivor,18/02/2026 10:56,18/02/2026 11:02,65,1,76.63,15.33,114.94,55.6,4980.95,3614.0,1366.95,241656.05,Closed,27.4,25555.5,-0.3314,TARGET_HIT
59,BANKNIFTY 60908 PE,Survivor,18/02/2026 10:56,18/02/2026 11:02,30,1,195.7,39.14,293.55,131.41,5871.0,3942.3,1928.7,243584.75,Closed,32.9,60908.29,-0.3364,TARGET_HIT
60,SENSEX 82857 PE,Survivor,18/02/2026 10:56,18/02/2026 11:02,20,1,237.83,47.57,356.75,167.76,4756.6,3355.2,1401.4,244986.15,Closed,29.5,82857.33,-0.3255,TARGET_HIT
61,NIFTY 25563 PE,Survivor,18/02/2026 11:02,18/02/2026 11:07,65,1,76.87,15.37,115.31,58.78,4996.55,3820.7,1175.85,246162.0,Closed,23.5,25562.95,-0.3317,TARGET_HIT
62,BANKNIFTY 60922 PE,Survivor,18/02/2026 11:02,18/02/2026 11:08,30,1,196.28,39.26,294.42,147.38,5888.4,4421.4,1467.0,247629.0,Closed,24.9,60922.34,-0.3367,TARGET_HIT
63,SENSEX 82900 PE,Survivor,18/02/2026 11:02,18/02/2026 11:08,20,1,238.96,47.79,358.44,190.98,4779.2,3819.6,959.6,248588.6,Closed,20.1,82899.73,-0.326,TARGET_HIT
64,NIFTY 25561 PE,Survivor,18/02/2026 11:07,18/02/2026 11:13,65,1,76.86,15.37,115.29,60.53,4995.9,3934.45,1061.45,249650.05,Closed,21.2,25561.5,-0.3317,TARGET_HIT
65,BANKNIFTY 60904 PE,Survivor,18/02/2026 11:07,18/02/2026 11:13,30,1,195.37,39.07,293.06,143.33,5861.1,4299.9,1561.2,251211.25,Closed,26.6,60903.94,-0.3362,TARGET_HIT
