timestamp,strategy,symbol,signal_type,spot,strike,opt_type,entry_premium,target,sl,quality_score,dte,iv,vix,reason,wall_strike,wall_oi,max_pain,vwap,oi_confirmed,distance_pct
2026-03-09T11:44:10.256687,Max Pain Magnet,NIFTY,BUY_CE,23911.15,23900,CE,219.85,329.77,142.9,67,1,0.4029,23.37,"Max Pain: MP=24000, Spot=23911 (0.4% below) -> BUY_CE, DTE=1",,,24000.0,,,0.37
2026-03-09T11:44:10.256700,Max Pain Magnet,SENSEX,BUY_CE,77199.79,77200,CE,1012.5,1417.5,658.12,55,3,0.3573155664568685,23.37,"Max Pain: MP=77900, Spot=77200 (0.9% below) -> BUY_CE, DTE=3",,,77900.0,,,0.91
2026-03-09T11:47:12.493533,Max Pain Magnet,NIFTY,BUY_CE,23899.55,23900,CE,200.55,300.83,130.36,75,1,0.2468333333333333,23.49,"Max Pain: MP=24000, Spot=23900 (0.4% below) -> BUY_CE, DTE=1",,,24000.0,,,0.42
2026-03-09T11:47:12.493558,Max Pain Magnet,SENSEX,BUY_CE,77140.04,77100,CE,1050.45,1470.63,682.79,55,3,0.3589841054133856,23.49,"Max Pain: MP=78000, Spot=77140 (1.1% below) -> BUY_CE, DTE=3",,,78000.0,,,1.11
2026-03-09T11:50:12.572210,Max Pain Magnet,NIFTY,BUY_CE,23900.35,23900,CE,208.05,312.08,135.23,67,1,0.4029,23.55,"Max Pain: MP=24000, Spot=23900 (0.4% below) -> BUY_CE, DTE=1",,,24000.0,,,0.42
2026-03-09T11:50:12.572225,Max Pain Magnet,SENSEX,BUY_CE,77171.16,77200,CE,1004.85,1406.79,653.15,55,3,0.3565304604965091,23.55,"Max Pain: MP=78000, Spot=77171 (1.1% below) -> BUY_CE, DTE=3",,,78000.0,,,1.07
2026-03-09T11:53:12.670410,Max Pain Magnet,NIFTY,BUY_CE,23894.7,23900,CE,205.9,308.85,133.84,67,1,0.4029,23.62,"Max Pain: MP=24000, Spot=23895 (0.4% below) -> BUY_CE, DTE=1",,,24000.0,,,0.44
2026-03-09T11:53:12.670433,Max Pain Magnet,SENSEX,BUY_CE,77139.04,77100,CE,1066.75,1493.45,693.39,55,3,0.3581026241654306,23.62,"Max Pain: MP=78000, Spot=77139 (1.1% below) -> BUY_CE, DTE=3",,,78000.0,,,1.12
2026-03-09T11:56:12.755163,Max Pain Magnet,NIFTY,BUY_CE,23891.15,23900,CE,199.1,298.65,129.41,67,1,0.4029,23.65,"Max Pain: MP=24000, Spot=23891 (0.5% below) -> BUY_CE, DTE=1",,,24000.0,,,0.46
2026-03-09T11:56:12.755205,Max Pain Magnet,SENSEX,BUY_CE,77129.26,77100,CE,1035.9,1450.26,673.34,55,3,0.359363142932693,23.65,"Max Pain: MP=77900, Spot=77129 (1.0% below) -> BUY_CE, DTE=3",,,77900.0,,,1.0
