date,type,strike,spot,entry_premium,exit_premium,pnl,delta,iv,dte,cpr_width
2025-06-17,BUY_CE_CPR,109000,108995.0,1383.73,2490.72,995880.48,0.505,27.3,5,0.034
2025-06-18,SELL_CE_CPR,111000,108566.0,515.7,229.03,257779.8,0.251,27.5,5,0.817
2025-06-18,SELL_PE_CPR,107000,108566.0,740.91,645.49,85571.25,-0.32,27.5,5,0.817
2025-06-19,BUY_PE_CPR,107500,107393.0,1467.59,2641.66,1056232.88,-0.505,28.2,5,0.17
2025-06-20,BUY_PE_CPR,106000,106224.0,1333.01,2399.41,959370.18,-0.468,29.1,5,0.179
2025-06-23,BUY_CE_CPR,107000,106759.0,1331.21,2396.17,958073.2,0.48,29.1,5,0.219
2025-06-24,BUY_PE_CPR,105000,104917.0,1534.64,2762.35,1104492.62,-0.501,30.5,5,0.039
2025-06-25,BUY_CE_CPR,106000,105980.0,1497.16,2694.88,1077513.9,0.505,30.5,5,0.109
2025-06-26,BUY_CE_CPR,107000,106755.0,1401.7,2523.07,1008813.23,0.481,30.5,5,0.343
2025-06-27,BUY_PE_CPR,105000,105228.0,1419.59,2555.26,1021684.42,-0.469,31.2,5,0.082
2025-06-30,BUY_CE_CPR,105500,105449.0,1998.81,1698.99,-270407.72,0.504,25.6,13,0.168
2025-07-01,BUY_CE_CPR,106000,105947.0,2086.09,3754.96,1501393.17,0.505,25.6,14,0.096
2025-07-02,BUY_CE_CPR,106000,106224.0,2152.17,3873.9,1548951.3,0.526,25.6,13,0.131
2025-07-03,BUY_CE_CPR,107500,107285.0,1608.03,2894.45,1157314.75,0.487,22.1,12,0.229
2025-07-04,BUY_CE_CPR,107500,107568.0,1649.19,2968.54,1186936.52,0.513,21.7,11,0.093
2025-07-07,BUY_CE_CPR,108500,108321.0,1241.49,2234.68,893502.0,0.484,20.8,8,0.138
2025-07-09,BUY_PE_CPR,107500,107265.0,1221.81,2199.27,879340.62,-0.528,20.1,6,0.091
2025-07-10,BUY_CE_CPR,109000,109123.0,1152.24,2074.04,829267.78,0.522,21.4,5,0.262
2025-07-11,BUY_CE_CPR,113000,113001.0,1398.89,2518.01,1006790.53,0.506,26.5,5,0.377
2025-07-14,SELL_CE_CPR,115000,112936.0,614.02,1228.04,-552881.34,0.285,26.6,5,1.05
2025-07-16,BUY_PE_CPR,111500,111635.0,1263.64,2274.55,909441.09,-0.477,25.6,5,0.305
2025-07-17,BUY_CE_CPR,112500,112334.0,1224.79,2204.61,881478.81,0.485,24.9,5,0.052
2025-07-21,BUY_CE_CPR,115000,115046.0,1370.53,2466.96,986379.99,0.511,25.1,5,0.085
2025-07-22,SELL_CE_CPR,116500,115655.0,860.03,260.76,538994.68,0.397,22.8,5,0.622
2025-07-22,SELL_PE_CPR,114000,115655.0,570.15,824.47,-229135.66,-0.29,22.8,5,0.622
2025-07-23,BUY_CE_CPR,115500,115634.0,1297.35,2335.24,933708.53,0.522,22.8,5,0.249
2025-07-24,BUY_PE_CPR,115000,115133.0,1175.0,2114.99,845644.09,-0.477,23.1,5,0.166
2025-07-25,BUY_PE_CPR,113000,113052.0,1232.44,2218.39,886986.34,-0.487,23.9,5,0.137
2025-07-29,BUY_CE_CPR,114000,113753.0,2003.73,3606.71,1442115.23,0.49,23.9,14,0.037
2025-07-30,BUY_PE_CPR,113000,112864.0,2149.47,3869.05,1547011.22,-0.5,24.5,13,0.214
2025-07-31,BUY_PE_CPR,110000,109972.0,2217.88,3992.18,1596245.09,-0.491,27.8,12,0.216
2025-08-01,BUY_CE_CPR,110500,110258.0,2269.28,4084.7,1633241.33,0.494,27.8,14,0.376
2025-08-04,BUY_CE_CPR,112000,112236.0,2345.83,4222.49,1688335.9,0.526,28.7,11,0.12
2025-08-06,BUY_CE_CPR,113500,113655.0,2110.0,2953.99,759000.37,0.52,28.6,9,0.372
