date,type,strike,spot,entry_premium,exit_premium,pnl,delta,iv,dte,cpr_width
2024-07-12,SELL_PE_CPR,185,196.0,2.75,2.67,119782.01,-0.248,77.7,5,0.85
2024-07-16,SELL_CE_CPR,190,182.5,3.44,4.1,-1034924.12,0.339,74.9,5,1.132
2024-07-16,SELL_PE_CPR,180,182.5,5.16,6.66,-2336783.46,-0.42,74.9,5,1.132
2024-07-18,SELL_CE_CPR,180,177.8,5.63,6.65,-1593384.49,0.466,80.0,5,2.606
2024-07-19,SELL_PE_CPR,175,177.5,5.4,8.28,-4498164.8,-0.421,80.0,5,1.333
2024-07-23,SELL_PE_CPR,180,183.6,5.14,4.11,1601532.27,-0.398,80.0,5,1.561
2024-07-26,SELL_PE_CPR,165,170.1,4.03,1.65,3721695.64,-0.355,80.0,5,1.313
2024-07-29,BUY_CE_CPR,175,172.9,9.82,17.67,12269698.82,0.499,80.0,14,0.212
2024-07-30,BUY_CE_CPR,180,178.8,10.18,18.33,12723201.79,0.511,80.0,13,0.13
2024-08-01,SELL_CE_CPR,175,168.8,7.9,14.61,-10491039.47,0.439,80.0,14,1.54
2024-08-01,SELL_PE_CPR,165,168.8,8.61,6.89,2685213.87,-0.41,80.0,14,1.54
2024-08-02,SELL_PE_CPR,165,164.9,9.95,12.98,-4730334.74,-0.47,80.0,13,1.819
2024-08-07,SELL_CE_CPR,175,176.2,8.89,10.8,-2987711.71,0.546,80.0,8,1.74
2024-08-08,SELL_CE_CPR,180,179.6,7.73,10.71,-4650095.72,0.513,80.0,7,0.817
2024-08-08,SELL_PE_CPR,170,179.6,3.85,7.69,-6011921.93,-0.29,80.0,7,0.817
2024-08-09,SELL_CE_CPR,185,180.5,5.43,3.24,3429596.16,0.425,80.0,6,0.868
2024-08-12,BUY_CE_CPR,185,183.7,6.25,11.25,7806687.83,0.488,80.0,5,0.054
2024-08-13,SELL_CE_CPR,190,181.0,3.33,6.67,-5209560.23,0.318,80.0,5,0.718
2024-08-13,SELL_PE_CPR,180,181.0,6.25,5.0,1948077.87,-0.457,80.0,5,0.718
2024-08-20,SELL_CE_CPR,195,184.1,2.92,1.82,1713480.38,0.285,80.0,5,1.322
2024-08-20,SELL_PE_CPR,180,184.1,4.94,3.67,1972051.31,-0.387,80.0,5,1.322
2024-08-21,SELL_CE_CPR,190,181.2,3.4,3.78,-599572.81,0.323,80.0,5,0.92
2024-08-21,SELL_PE_CPR,180,181.2,6.16,7.6,-2260189.5,-0.453,80.0,5,0.92
2024-08-22,SELL_CE_CPR,185,172.8,2.27,4.36,-3260460.51,0.247,80.0,5,0.752
2024-08-23,SELL_PE_CPR,165,168.9,4.47,3.58,1395005.47,-0.383,80.0,5,1.816
2024-08-29,SELL_PE_CPR,175,179.7,8.86,14.55,-8903811.68,-0.401,80.0,14,1.206
2024-08-30,SELL_CE_CPR,185,179.0,8.19,6.02,3389069.59,0.442,80.0,13,1.397
2024-08-30,SELL_PE_CPR,175,179.0,8.75,8.09,1025576.2,-0.41,80.0,13,1.397
2024-09-02,BUY_CE_CPR,185,184.6,10.9,19.61,13615198.01,0.523,80.0,13,0.235
2024-09-04,SELL_CE_CPR,190,180.6,6.22,12.44,-9725674.33,0.383,80.0,11,1.55
2024-09-04,SELL_PE_CPR,180,180.6,9.67,7.73,3014510.06,-0.462,80.0,11,1.55
2024-09-09,BUY_PE_CPR,180,182.4,6.27,11.28,7829988.75,-0.428,80.0,6,0.128
2024-09-10,SELL_PE_CPR,180,188.7,3.39,3.43,-77894.75,-0.291,80.0,5,1.237
2024-09-11,SELL_CE_CPR,195,191.8,5.73,8.18,-3830133.66,0.448,80.0,5,1.425
2024-09-12,BUY_CE_CPR,200,200.3,7.62,13.71,9518838.03,0.525,80.0,5,0.233
2024-09-13,SELL_PE_CPR,195,193.9,7.82,6.25,2438043.14,-0.505,80.0,5,2.029
2024-09-16,SELL_PE_CPR,190,199.4,3.51,3.14,584512.27,-0.287,80.0,5,1.287
2024-09-17,SELL_CE_CPR,205,196.5,4.0,2.89,1717563.37,0.342,80.0,5,1.17
2024-09-17,SELL_PE_CPR,195,196.5,6.58,4.9,2618383.95,-0.448,80.0,5,1.17
2024-09-18,SELL_CE_CPR,200,193.3,4.47,5.39,-1446600.61,0.375,80.0,5,1.173
2024-09-18,SELL_PE_CPR,190,193.3,5.62,7.23,-2519194.62,-0.408,80.0,5,1.173
2024-09-20,SELL_PE_CPR,190,202.7,2.66,4.38,-2683114.81,-0.23,80.0,5,1.431
2024-09-24,SELL_CE_CPR,225,213.9,3.81,7.62,-5951898.51,0.311,80.0,5,1.527
2024-09-24,SELL_PE_CPR,210,213.9,6.11,4.87,1932682.37,-0.404,80.0,5,1.527
2024-09-25,SELL_CE_CPR,220,216.8,6.65,9.23,-4040143.68,0.456,80.0,5,1.307
2024-09-26,BUY_CE_CPR,230,230.0,8.58,15.45,10721900.58,0.518,80.0,5,0.29
2024-10-01,BUY_CE_CPR,245,243.5,14.48,26.06,18089516.32,0.514,80.0,14,0.287
2024-10-03,BUY_CE_CPR,250,249.2,14.0,25.21,17499791.37,0.519,80.0,12,0.348
2024-10-08,SELL_CE_CPR,235,231.8,8.78,7.34,2238347.39,0.472,80.0,7,0.935
2024-10-08,SELL_PE_CPR,225,231.8,7.04,5.24,2816982.31,-0.372,80.0,7,0.935
2024-10-09,BUY_PE_CPR,225,222.7,10.34,18.61,12921015.22,-0.519,80.0,6,0.359
2024-10-10,SELL_CE_CPR,225,224.1,7.94,10.09,-3363622.15,0.501,80.0,5,0.803
2024-10-10,SELL_PE_CPR,220,224.1,6.4,9.75,-5250759.44,-0.403,80.0,5,0.803
2024-10-15,SELL_CE_CPR,215,211.6,6.37,5.78,926772.88,0.45,80.0,5,1.292
2024-10-15,SELL_PE_CPR,205,211.6,4.91,2.89,3155848.61,-0.35,80.0,5,1.292
