date,type,strike,spot,entry_premium,exit_premium,pnl,delta,gamma,iv,dte
2024-08-29,BUY_CE_GAMMA,25150,25151.95,119.8,198.27,1912.98,0.511,0.00136,22.2,0
2024-09-05,BUY_PE_GAMMA,25150,25145.1,69.47,111.42,1000.83,-0.5,0.0023,13.2,0
2024-09-12,BUY_CE_GAMMA,25400,25388.9,79.56,150.61,1728.06,0.489,0.00192,15.6,0
2024-09-19,BUY_PE_GAMMA,25400,25415.8,62.46,74.48,252.43,-0.454,0.00219,13.6,0
2024-09-26,BUY_CE_GAMMA,26200,26216.05,95.67,163.1,1637.36,0.54,0.00186,15.5,0
2024-10-03,BUY_PE_GAMMA,25250,25250.1,110.19,178.26,1653.27,-0.491,0.00141,21.3,0
2024-10-10,BUY_PE_GAMMA,25000,24998.45,111.64,164.19,1265.21,-0.494,0.00141,21.7,0
2024-10-17,BUY_PE_GAMMA,24750,24749.85,100.84,164.89,1552.7,-0.491,0.00155,19.9,0
2024-10-31,BUY_PE_GAMMA,24200,24205.35,67.79,104.19,861.98,-0.477,0.00219,14.3,0
2024-11-07,BUY_PE_GAMMA,24200,24199.35,85.63,137.94,1259.3,-0.492,0.00182,17.3,0
2024-11-21,BUY_PE_GAMMA,23350,23349.9,82.11,101.56,437.83,-0.491,0.00189,17.3,0
2024-11-28,BUY_PE_GAMMA,23900,23914.15,109.39,181.12,1744.58,-0.473,0.00134,23.7,0
2024-12-05,BUY_CE_GAMMA,24700,24708.4,127.35,164.63,883.2,0.519,0.00132,23.4,0
2024-12-12,BUY_PE_GAMMA,24550,24548.7,105.74,155.0,1183.05,-0.493,0.00148,20.9,0
2024-12-19,BUY_CE_GAMMA,23950,23951.7,113.29,129.9,366.69,0.511,0.00144,22.1,0
2025-01-02,BUY_CE_GAMMA,24200,24188.65,93.23,163.0,1695.87,0.49,0.00165,19.1,0
2025-01-09,BUY_PE_GAMMA,23550,23526.5,110.72,174.09,1535.51,-0.528,0.00158,20.5,0
2025-01-16,BUY_PE_GAMMA,23300,23311.8,91.46,103.1,242.59,-0.472,0.0016,20.4,0
2025-01-23,BUY_CE_GAMMA,23200,23205.35,101.38,117.7,359.42,0.518,0.00165,19.9,0
2025-01-30,BUY_CE_GAMMA,23250,23249.5,91.4,107.5,354.21,0.508,0.00178,18.5,0
2025-02-06,BUY_PE_GAMMA,23600,23603.35,91.02,144.57,1290.21,-0.485,0.00168,19.2,0
2025-02-20,BUY_CE_GAMMA,22900,22913.15,88.92,135.25,1110.06,0.536,0.00198,16.7,0
2025-03-13,BUY_PE_GAMMA,22400,22397.2,68.17,107.08,924.87,-0.496,0.00231,14.7,0
2025-03-20,BUY_CE_GAMMA,23200,23190.65,86.21,135.73,1189.64,0.493,0.00179,18.3,0
2025-03-27,BUY_CE_GAMMA,23600,23591.95,90.76,146.98,1357.16,0.495,0.00172,18.8,0
2025-04-03,BUY_CE_GAMMA,23250,23250.1,90.17,108.49,409.69,0.51,0.00181,18.1,0
2025-04-17,BUY_CE_GAMMA,23850,23851.65,165.38,294.59,3180.99,0.509,0.00098,32.6,0
2025-05-08,BUY_PE_GAMMA,24250,24273.8,134.12,174.71,965.92,-0.467,0.00107,29.2,0
2025-05-15,BUY_CE_GAMMA,25050,25062.1,151.81,268.52,2868.82,0.521,0.00111,27.4,0
2025-05-22,BUY_PE_GAMMA,24600,24609.7,132.8,160.83,651.98,-0.481,0.00114,27.2,0
2025-06-05,BUY_CE_GAMMA,24750,24750.9,143.02,42.91,-2551.79,0.509,0.00113,27.2,0
2025-06-12,BUY_PE_GAMMA,24900,24888.2,80.79,144.84,1553.06,-0.514,0.00206,14.8,0
2025-06-26,BUY_CE_GAMMA,25550,25549.0,86.11,145.23,1429.65,0.508,0.00189,15.8,0
2025-07-03,BUY_PE_GAMMA,25400,25405.3,76.81,115.88,928.48,-0.479,0.00195,15.4,0
2025-07-10,BUY_PE_GAMMA,25350,25355.25,67.5,105.82,910.07,-0.477,0.0022,13.7,0
2025-07-17,BUY_PE_GAMMA,25100,25111.45,62.23,95.82,791.83,-0.462,0.00227,13.3,0
