date,time,symbol,type,strike,entry_premium,exit_premium,spot_entry,vwap,pcr,tolerance,has_oi,exit_reason,gross_pnl,costs,net_pnl,version
2025-11-18,10:00,SENSEX,BUY_PE,84600,155.7,205.15,84760.56,84760.56,0.539,0.368,True,EOD,967.19,58.1,909.09,Intraday
2025-11-18,10:30,SENSEX,BUY_PE,84600,167.45,207.44,84729.41,84729.41,0.483,0.369,True,EOD,777.24,58.92,718.32,Intraday
2025-11-19,10:10,SENSEX,BUY_CE,84800,159.09,318.19,84681.48,84681.48,5.027,0.356,True,TARGET,3153.24,58.34,3094.91,Intraday
2025-11-19,10:30,SENSEX,BUY_CE,84900,134.52,269.05,84720.61,84720.61,4.942,0.355,True,TARGET,2666.24,56.62,2609.62,Intraday
2025-11-20,10:40,SENSEX,BUY_CE,85400,117.27,234.53,85330.91,85330.91,2.277,0.363,True,TARGET,2324.24,55.41,2268.83,Intraday
2025-11-20,10:45,SENSEX,BUY_CE,85500,80.85,161.7,85337.14,85337.14,2.607,0.363,True,TARGET,1602.47,52.86,1549.61,Intraday
2025-11-21,09:55,SENSEX,BUY_PE,85400,101.3,202.59,85477.07,85477.07,0.272,0.364,True,TARGET,2007.7,54.29,1953.41,Intraday
2025-11-21,10:00,SENSEX,BUY_PE,85300,70.74,141.49,85463.45,85463.45,0.248,0.364,True,TARGET,1402.13,52.15,1349.98,Intraday
2025-11-24,10:50,SENSEX,BUY_CE,85400,293.95,117.58,85347.24,85347.24,1.013,0.348,True,SL,-3552.1,67.78,-3619.88,Intraday
2025-11-24,11:45,SENSEX,BUY_PE,85300,237.14,474.29,85351.35,85351.35,0.891,0.348,True,TARGET,4700.19,63.8,4636.39,Intraday
2025-11-25,10:10,SENSEX,BUY_CE,85100,194.8,77.92,84944.45,84944.45,2.508,0.359,True,SL,-2353.99,60.84,-2414.83,Intraday
2025-11-25,10:20,SENSEX,BUY_CE,85000,245.81,98.32,84954.59,84954.59,1.074,0.359,True,SL,-2970.33,64.41,-3034.73,Intraday
2025-11-26,10:25,SENSEX,BUY_CE,85100,164.97,329.93,84989.59,84989.59,1.915,0.356,True,TARGET,3269.66,58.75,3210.91,Intraday
2025-11-26,10:30,SENSEX,BUY_CE,85200,129.02,258.04,85000.04,85000.04,1.97,0.355,True,TARGET,2557.22,56.23,2500.99,Intraday
2025-11-27,09:55,SENSEX,BUY_CE,85900,142.99,57.2,85829.33,85829.33,1.132,0.376,True,SL,-1727.94,57.21,-1785.15,Intraday
2025-11-27,10:10,SENSEX,BUY_CE,85900,153.24,61.3,85851.64,85851.64,4.784,0.376,True,SL,-1851.76,57.93,-1909.69,Intraday
2025-11-28,10:35,SENSEX,BUY_CE,85900,120.93,80.27,85798.1,85798.1,1.18,0.37,True,EOD,-825.29,55.67,-880.95,Intraday
