date,type,strike,spot,entry_premium,exit_premium,pnl,delta,gamma,theta,iv,dte
2021-08-05,SELL_PE,16214.6,16294.6,13.31,19.96,-139.04,-0.217,0.00275,-16.33,12.5,1
2021-08-18,SELL_PE,16468.85,16568.85,12.84,2.68,206.47,-0.191,0.00223,-8.85,9.9,2
2021-08-30,SELL_PE,16731.05,16931.05,10.29,9.77,-34.63,-0.117,0.00109,-4.76,10.1,4
2021-08-31,SELL_PE,16982.2,17132.2,14.28,21.41,-226.05,-0.164,0.00151,-7.25,10.6,3
2021-09-01,SELL_PE,16976.25,17076.25,12.96,2.72,208.25,-0.191,0.00223,-8.92,9.7,2
2021-09-15,SELL_PE,17419.45,17519.45,13.21,19.81,-138.24,-0.193,0.00222,-9.06,9.5,2
2021-09-16,SELL_PE,17549.5,17629.5,8.28,12.42,-98.1,-0.173,0.00289,-11.91,9.6,1
2021-09-16,SELL_PE,17549.5,17629.5,8.28,12.42,-98.1,-0.173,0.00289,-11.91,9.6,1
2021-09-23,SELL_PE,17742.95,17822.95,14.24,21.36,-146.64,-0.224,0.00271,-17.17,11.8,1
2021-09-23,SELL_PE,17742.95,17822.95,14.24,21.36,-146.64,-0.224,0.00271,-17.17,11.8,1
2021-09-28,SELL_CE,17898.6,17748.6,24.44,36.67,-353.45,0.228,0.00162,-10.08,11.6,3
2021-10-13,SELL_PE,18061.75,18161.75,28.91,43.36,-266.07,-0.269,0.00189,-15.31,13.0,2
2021-10-13,SELL_PE,18061.75,18161.75,28.91,43.36,-266.07,-0.269,0.00189,-15.31,13.0,2
2021-10-14,SELL_PE,18258.55,18338.55,19.62,29.43,-190.47,-0.255,0.00252,-21.32,13.3,1
2021-10-14,SELL_PE,18258.55,18338.55,19.62,29.43,-190.47,-0.255,0.00252,-21.32,13.3,1
2021-10-20,SELL_CE,18366.6,18266.6,32.18,48.27,-292.74,0.296,0.002,-15.89,12.8,2
2021-10-20,SELL_CE,18366.6,18266.6,32.18,48.27,-292.74,0.296,0.002,-15.89,12.8,2
2021-10-21,SELL_CE,18258.1,18178.1,20.36,30.54,-196.48,0.27,0.00266,-21.35,13.0,1
2021-10-21,SELL_CE,18258.1,18178.1,20.36,30.54,-196.48,0.27,0.00266,-21.35,13.0,1
2021-10-28,SELL_CE,17937.25,17857.25,24.42,36.63,-229.52,0.288,0.00251,-24.13,14.6,1
2021-10-28,SELL_CE,17937.25,17857.25,24.42,36.63,-229.52,0.288,0.00251,-24.13,14.6,1
2021-11-03,SELL_CE,17943.935714285715,17829.2,38.58,57.87,-344.86,0.3,0.00171,-18.66,15.4,2
2021-11-11,SELL_CE,17964.891428571427,17873.6,23.16,34.74,-219.28,0.269,0.00233,-24.21,15.1,1
2021-11-11,SELL_CE,17964.891428571427,17873.6,23.16,34.74,-219.28,0.269,0.00233,-24.21,15.1,1
2021-11-17,SELL_CE,17998.65,17898.65,40.4,60.6,-359.65,0.319,0.00182,-18.53,14.8,2
2021-11-18,SELL_CE,17844.8,17764.8,24.76,37.15,-232.34,0.289,0.00249,-24.36,14.7,1
2021-11-18,SELL_CE,17844.8,17764.8,24.76,37.15,-232.34,0.289,0.00249,-24.36,14.7,1
2021-11-22,SELL_CE,17616.55,17416.55,49.5,74.25,-667.35,0.271,0.0011,-13.3,16.5,4
2021-11-22,SELL_CE,17616.55,17416.55,49.5,74.25,-667.35,0.271,0.0011,-13.3,16.5,4
2021-11-29,SELL_CE,17253.95,17053.95,61.9,31.62,708.11,0.294,0.00102,-15.43,18.9,4
2021-11-30,SELL_PE,16810.755,16983.2,45.38,20.92,563.09,-0.26,0.00113,-16.29,18.6,3
2021-12-02,SELL_PE,17295.50285714286,17401.65,28.2,42.29,-260.29,-0.264,0.00187,-29.43,19.2,1
2021-12-02,SELL_PE,17295.50285714286,17401.65,28.2,42.29,-260.29,-0.264,0.00187,-29.43,19.2,1
2021-12-06,SELL_CE,17135.39,16912.25,62.94,94.4,-835.67,0.284,0.00094,-16.1,20.3,4
2021-12-08,SELL_PE,17320.42142857143,17469.75,54.79,82.19,-476.85,-0.294,0.00118,-26.17,22.7,2
2021-12-08,SELL_PE,17320.42142857143,17469.75,54.79,82.19,-476.85,-0.294,0.00118,-26.17,22.7,2
2021-12-09,SELL_PE,17396.465714285714,17516.85,35.33,53.0,-318.42,-0.274,0.0016,-35.57,22.7,1
2021-12-14,SELL_CE,17508.412500000002,17324.9,67.97,33.91,802.42,0.311,0.00103,-21.19,21.9,3
2021-12-20,SELL_CE,16814.2,16614.2,82.51,123.77,-1080.9,0.323,0.0009,-18.74,22.8,4
2021-12-20,SELL_CE,16814.2,16614.2,82.51,123.77,-1080.9,0.323,0.0009,-18.74,22.8,4
2021-12-23,SELL_PE,16977.88714285714,17072.6,44.2,0.05,1055.43,-0.319,0.00169,-38.8,23.7,1
2021-12-23,SELL_PE,16977.88714285714,17072.6,44.2,0.05,1055.43,-0.319,0.00169,-38.8,23.7,1
2021-12-28,SELL_PE,17081.0025,17233.25,63.63,32.97,717.4,-0.305,0.00108,-19.84,20.7,3
