date,type,strike,spot,entry_premium,exit_premium,pnl,delta,gamma,theta,iv,dte
2023-01-05,SELL_CE,60623.815142857144,60353.27,75.81,113.71,-277.61,0.279,0.00076,-77.0,13.9,1
2023-01-05,SELL_CE,60623.815142857144,60353.27,75.81,113.71,-277.61,0.279,0.00076,-77.0,13.9,1
2023-01-05,SELL_CE,60623.815142857144,60353.27,75.81,113.71,-277.61,0.279,0.00076,-77.0,13.9,1
2023-01-09,SELL_PE,60176.81171428571,60747.31,157.73,236.59,-837.62,-0.263,0.00033,-42.92,15.5,4
2023-01-12,SELL_CE,60232.90257142857,59958.03,80.29,120.44,-292.21,0.283,0.00074,-80.42,14.6,1
2023-01-18,SELL_PE,60705.74357142857,61045.74,118.24,177.36,-415.82,-0.288,0.00052,-58.88,14.5,2
2023-01-18,SELL_PE,60705.74357142857,61045.74,118.24,177.36,-415.82,-0.288,0.00052,-58.88,14.5,2
2023-01-25,SELL_CE,60513.947499999995,60205.06,113.65,170.47,-400.86,0.31,0.00062,-53.88,12.9,2
2023-01-25,SELL_CE,60513.947499999995,60205.06,113.65,170.47,-400.86,0.31,0.00062,-53.88,12.9,2
2023-01-25,SELL_CE,60513.947499999995,60205.06,113.65,170.47,-400.86,0.31,0.00062,-53.88,12.9,2
2023-01-30,SELL_CE,60012.63628571429,59500.41,162.66,91.85,659.12,0.298,0.0004,-40.79,14.0,4
2023-02-01,SELL_PE,59388.74785714286,59708.08,108.52,162.77,-384.15,-0.285,0.00056,-54.6,13.7,2
2023-02-01,SELL_PE,59388.74785714286,59708.08,108.52,162.77,-384.15,-0.285,0.00056,-54.6,13.7,2
2023-02-01,SELL_PE,59388.74785714286,59708.08,108.52,162.77,-384.15,-0.285,0.00056,-54.6,13.7,2
2023-02-01,SELL_CE,60027.412142857145,59708.08,122.38,183.57,-429.31,0.314,0.00058,-57.17,13.7,2
2023-02-01,SELL_CE,60027.412142857145,59708.08,122.38,183.57,-429.31,0.314,0.00058,-57.17,13.7,2
2023-02-07,SELL_CE,60808.742,60286.04,108.87,47.55,564.71,0.252,0.00044,-41.29,13.3,3
2023-02-14,SELL_PE,60511.482500000006,61032.26,95.41,42.07,485.09,-0.223,0.00041,-39.11,13.3,3
2023-02-15,SELL_PE,60898.265,61275.09,85.41,128.11,-308.87,-0.245,0.00054,-48.64,12.9,2
2023-02-16,SELL_PE,61024.21057142857,61319.51,52.37,0.05,475.42,-0.223,0.00074,-62.99,12.6,1
2023-02-16,SELL_PE,61024.21057142857,61319.51,52.37,0.05,475.42,-0.223,0.00074,-62.99,12.6,1
2023-02-22,SELL_CE,60016.845,59744.98,143.17,214.75,-497.03,0.346,0.00059,-60.98,14.1,2
2023-02-22,SELL_CE,60016.845,59744.98,143.17,214.75,-497.03,0.346,0.00059,-60.98,14.1,2
2023-02-22,SELL_CE,60016.845,59744.98,143.17,214.75,-497.03,0.346,0.00059,-60.98,14.1,2
2023-02-23,SELL_CE,59822.98628571429,59605.8,80.94,121.4,-294.31,0.309,0.00086,-75.5,13.1,1
2023-02-23,SELL_CE,59822.98628571429,59605.8,80.94,121.4,-294.31,0.309,0.00086,-75.5,13.1,1
2023-02-23,SELL_CE,59822.98628571429,59605.8,80.94,121.4,-294.31,0.309,0.00086,-75.5,13.1,1
2023-02-27,SELL_CE,59708.05285714286,59288.35,140.41,79.99,555.44,0.305,0.00048,-35.01,11.7,4
2023-03-02,SELL_CE,59122.27285714285,58909.35,74.67,112.01,-273.91,0.303,0.0009,-71.02,12.6,1
2023-03-02,SELL_CE,59122.27285714285,58909.35,74.67,112.01,-273.91,0.303,0.0009,-71.02,12.6,1
2023-03-02,SELL_CE,59122.27285714285,58909.35,74.67,112.01,-273.91,0.303,0.0009,-71.02,12.6,1
