date,symbol,type,strike,entry,exit,spot_entry,pcr,vwap,gross_pnl,costs,net_pnl,version,tolerance,has_oi,position_scale
2025-01-28,SENSEX,BUY_PE,75900,319.7570167460908,501.6837914668197,76139.50449855073,0.5418326693227091,76139.50449855073,3589.25,69.58,3519.67,V1,,,
2025-01-29,SENSEX,BUY_CE,76500,320.92850787373027,470.687523398307,76157.42878143133,2.3236994219653178,76157.42878143133,2947.68,69.66,2878.02,V1,,,
2025-01-30,SENSEX,BUY_CE,76800,200.532962942194,344.14684712962276,76267.16511864407,1.9884393063583814,76267.16511864407,2839.6,61.24,2778.36,V1,,,
2025-02-01,SENSEX,BUY_CE,77500,196.98467304875157,347.0423511972036,77026.8602045382,5.71578947368421,77026.8602045382,2968.51,60.99,2907.52,V1,,,
2025-02-03,SENSEX,BUY_CE,77200,374.22381906965893,387.76706696690565,77159.80781564428,1.086,77159.80781564428,225.15,73.4,151.75,V1,,,
2025-02-04,SENSEX,BUY_CE,78600,73.97172545771718,137.18389504087202,77356.46684563758,1.054,77356.46684563758,1251.57,52.38,1199.2,V1,,,
2025-02-07,SENSEX,BUY_PE,77900,371.7673729179951,393.4318604731779,77905.46563539589,0.3515151515151515,77905.46563539589,387.38,73.22,314.15,V1,,,
2025-02-10,SENSEX,BUY_PE,77300,127.80622471921743,229.92830432657902,78040.50251641138,0.862453531598513,78040.50251641138,2020.98,56.15,1964.83,V1,,,
2025-02-13,SENSEX,BUY_PE,76100,135.86883070680778,238.42920535854103,76853.55117037038,2.1691973969631237e-05,76853.55117037038,2028.75,56.71,1972.04,V1,,,
2025-02-14,SENSEX,BUY_PE,75900,196.19982099429035,332.75659207195014,76398.55953917051,2.2222222222222223e-05,76398.55953917051,2699.4,60.93,2638.46,V1,,,
2025-02-17,SENSEX,BUY_PE,76000,290.9951048859075,485.8193077405622,76124.46861423222,2.304147465437788e-05,76124.46861423222,3849.88,67.57,3782.31,V1,,,
2025-02-18,SENSEX,BUY_PE,76000,350.8157475568805,352.9184996774364,75971.66226327945,0.22252747252747251,75971.66226327945,-0.17,71.76,-71.93,V1,,,
2025-02-19,SENSEX,BUY_PE,75900,308.15980581867916,317.4355963738584,75959.65759649123,0.23011363636363635,75959.65759649123,147.98,68.77,79.21,V1,,,
