date,type,strike,spot,entry_premium,exit_premium,pnl,delta,iv,dte
2022-10-06,BUY_PE_GAMMA,655,655.3,14.73,24.36,60165005.12,-0.485,30.3,9
2022-10-10,BUY_CE_GAMMA,660,657.8,9.36,10.82,9090741.14,0.474,28.3,5
2022-10-13,BUY_CE_GAMMA,660,658.0,9.05,13.73,29247266.1,0.475,27.2,5
2022-10-14,BUY_PE_GAMMA,650,650.3,9.89,15.25,33458769.89,-0.487,27.6,5
2022-10-18,BUY_PE_GAMMA,640,640.4,9.8,12.81,18841941.1,-0.485,27.9,5
2022-10-20,BUY_CE_GAMMA,650,647.65,9.25,15.12,36658892.09,0.472,28.6,5
2022-10-21,BUY_CE_GAMMA,655,653.1,9.59,14.26,29149060.88,0.479,28.7,5
2022-10-25,BUY_PE_GAMMA,645,644.65,8.67,10.13,9072655.26,-0.5,23.5,5
2022-10-26,BUY_CE_GAMMA,660,658.7,8.23,12.21,24895640.4,0.483,24.0,5
2022-10-28,BUY_PE_GAMMA,650,647.75,16.14,24.72,53608561.54,-0.511,23.9,15
2022-11-02,BUY_PE_GAMMA,655,657.0,12.14,17.85,35666235.51,-0.465,22.2,13
2022-11-03,BUY_PE_GAMMA,650,652.5,11.38,13.58,13720398.22,-0.458,22.3,12
2022-11-04,BUY_CE_GAMMA,680,681.7,17.52,36.0,115472757.9,0.527,29.5,11
2022-11-08,BUY_CE_GAMMA,675,676.5,14.19,17.28,19264740.52,0.527,30.0,7
2022-11-09,BUY_CE_GAMMA,680,678.6,11.79,3.7,-50586942.87,0.491,30.0,6
2022-11-14,BUY_PE_GAMMA,695,696.5,11.37,16.89,34512200.61,-0.471,31.1,5
2022-11-15,BUY_PE_GAMMA,695,692.9,13.21,20.65,46498827.21,-0.518,31.2,5
2022-11-16,BUY_PE_GAMMA,690,689.5,12.03,13.38,8464853.82,-0.498,30.5,5
2022-11-17,BUY_PE_GAMMA,680,680.7,11.56,17.73,38488068.11,-0.481,31.3,5
2022-11-18,BUY_PE_GAMMA,670,672.5,10.65,16.25,34996550.8,-0.457,31.6,5
2022-11-21,BUY_PE_GAMMA,665,664.1,12.37,16.75,27347177.78,-0.503,32.0,5
2022-11-23,BUY_CE_GAMMA,670,670.0,11.89,13.15,7891877.13,0.508,31.7,5
2022-11-28,BUY_CE_GAMMA,670,668.95,18.31,28.73,65089846.55,0.504,29.1,15
2022-11-30,BUY_CE_GAMMA,680,681.0,17.73,26.58,55258957.25,0.521,28.1,13
2022-12-01,BUY_CE_GAMMA,690,691.1,18.86,20.91,12789846.95,0.522,28.3,14
2022-12-02,BUY_CE_GAMMA,695,696.6,13.97,22.46,53008275.92,0.528,21.0,13
2022-12-05,BUY_PE_GAMMA,695,694.4,11.2,18.63,46398979.74,-0.5,19.8,10
2022-12-07,BUY_CE_GAMMA,705,703.5,9.21,13.75,28375995.93,0.482,19.9,8
