date,type,strike,spot,entry_premium,exit_premium,pnl,delta,iv,dte
2021-11-02,BUY_PE_GAMMA,63000,63213.0,1275.97,2101.81,742876.62,-0.464,24.3,13
2021-11-09,BUY_PE_GAMMA,64500,64620.0,1042.87,367.15,-608468.94,-0.474,27.8,6
2021-11-10,BUY_CE_GAMMA,66000,66030.0,1052.99,1676.53,560864.93,0.512,28.1,5
2021-11-12,BUY_CE_GAMMA,67000,67165.0,1135.53,1308.3,155146.97,0.532,28.0,5
2021-11-16,BUY_PE_GAMMA,66500,66285.0,1135.29,1779.95,579846.87,-0.525,27.6,5
2021-11-17,BUY_CE_GAMMA,66500,66608.0,1033.26,1153.27,107691.69,0.524,26.3,5
2021-11-18,BUY_PE_GAMMA,66000,65975.0,977.23,1151.2,156276.09,-0.496,26.1,5
2021-11-19,BUY_PE_GAMMA,65500,65488.0,956.24,1099.53,128668.42,-0.494,25.9,5
2021-11-22,BUY_PE_GAMMA,64500,64655.0,873.94,1338.11,417473.83,-0.466,26.3,5
2021-11-26,BUY_PE_GAMMA,62000,62115.0,1020.96,1696.38,607561.51,-0.474,31.0,5
2021-12-01,BUY_PE_GAMMA,61000,60772.0,1787.54,2800.5,911152.4,-0.507,29.4,14
2021-12-07,BUY_CE_GAMMA,62000,61810.0,1079.51,1694.82,553449.36,0.483,26.8,8
2021-12-09,BUY_PE_GAMMA,61000,60806.0,1010.54,1409.89,359101.81,-0.526,24.4,6
2021-12-13,BUY_CE_GAMMA,61500,61604.0,869.66,992.14,109956.06,0.526,23.7,5
2021-12-14,BUY_PE_GAMMA,61000,60814.0,913.54,1183.9,243038.41,-0.529,24.0,5
2021-12-16,BUY_CE_GAMMA,62000,62149.0,1100.82,2071.57,873344.81,0.531,29.5,5
2021-12-20,BUY_PE_GAMMA,61500,61430.0,1052.85,1310.12,231215.11,-0.502,29.6,5
2021-12-21,BUY_CE_GAMMA,62000,61780.0,914.25,1167.89,227990.57,0.474,29.5,5
2021-12-29,BUY_PE_GAMMA,62000,61809.0,1461.98,1907.31,400369.06,-0.51,23.6,14
2021-12-31,BUY_CE_GAMMA,62500,62660.0,1313.47,1968.05,588736.57,0.529,22.7,12
2022-01-03,BUY_PE_GAMMA,62000,61802.0,1379.53,1878.78,448918.15,-0.513,23.8,12
2022-01-06,BUY_PE_GAMMA,60500,60429.0,1213.82,2316.74,992269.05,-0.499,26.0,9
2022-01-10,BUY_CE_GAMMA,60500,60641.0,938.4,1061.79,110758.31,0.533,25.5,5
