timestamp,strategy,commodity,type,strike,premium,spot,reason
2026-02-23T14:13:17.211132,CPR,CRUDEOILM,BUY_CE_CPR,5950,193.7617097421579,5963.0,Narrow CPR (0.111%) bullish breakout
2026-02-23T14:13:17.211132,Ghost Zone,CRUDEOILM,BUY_PE_GTZ,5950,180.77327993274653,5963.0,Ghost Zone: Supply retest
2026-02-23T14:14:24.608418,CPR,GOLDM,BUY_CE_CPR,159100,5606.600252089447,159054.0,Narrow CPR (0.058%) bullish breakout
2026-02-23T14:14:24.609953,CPR,SILVERM,BUY_CE_CPR,265000,9886.422651537972,265000.0,Narrow CPR (0.038%) bullish breakout
2026-02-23T14:14:24.609953,CPR,CRUDEOILM,BUY_CE_CPR,5950,193.7617097421579,5963.0,Narrow CPR (0.111%) bullish breakout
2026-02-23T14:14:24.609953,Ghost Zone,CRUDEOILM,BUY_PE_GTZ,5950,180.77327993274653,5963.0,Ghost Zone: Supply retest
2026-02-23T14:15:47.320618,CPR,GOLDM,BUY_CE_CPR,159100,5614.949279291984,159069.0,Narrow CPR (0.058%) bullish breakout
2026-02-23T14:15:47.320618,CPR,SILVERM,BUY_CE_CPR,265000,9990.385177405651,265200.0,Narrow CPR (0.038%) bullish breakout
2026-02-23T14:15:47.320618,CPR,CRUDEOILM,BUY_CE_CPR,5950,193.7617097421579,5963.0,Narrow CPR (0.111%) bullish breakout
2026-02-23T14:15:47.320618,Ghost Zone,CRUDEOILM,BUY_PE_GTZ,5950,180.77327993274653,5963.0,Ghost Zone: Supply retest
2026-02-23T14:16:54.962275,CPR,GOLDM,BUY_CE_CPR,159100,5616.620012012645,159072.0,Narrow CPR (0.058%) bullish breakout
2026-02-23T14:16:54.986614,CPR,SILVERM,BUY_CE_CPR,265500,9905.076279182398,265500.0,Narrow CPR (0.038%) bullish breakout
2026-02-23T14:16:54.986614,CPR,CRUDEOILM,BUY_CE_CPR,5950,193.7617097421579,5963.0,Narrow CPR (0.111%) bullish breakout
2026-02-23T14:16:54.986614,Ghost Zone,CRUDEOILM,BUY_PE_GTZ,5950,180.77327993274653,5963.0,Ghost Zone: Supply retest
2026-02-23T14:19:27.899307,CPR,GOLDM,BUY_CE_CPR,159100,5656.810239207804,159144.0,Narrow CPR (0.058%) bullish breakout
2026-02-23T14:19:27.900284,CPR,SILVERM,BUY_CE_CPR,242000,8928.154094560283,241806.0,Narrow CPR (0.038%) bullish breakout
2026-02-23T14:19:27.900284,CPR,CRUDEOILM,BUY_CE_CPR,5950,193.7617097421579,5963.0,Narrow CPR (0.111%) bullish breakout
2026-02-23T14:19:27.900284,Ghost Zone,CRUDEOILM,BUY_PE_GTZ,5950,180.77327993274653,5963.0,Ghost Zone: Supply retest
2026-02-23T14:20:57.391898,CPR,GOLDM,BUY_CE_CPR,159200,5623.126167920434,159170.0,Narrow CPR (0.058%) bullish breakout
2026-02-23T14:20:57.391898,CPR,SILVERM,BUY_CE_CPR,265500,10022.07844956287,265725.0,Narrow CPR (0.038%) bullish breakout
2026-02-23T14:20:57.391898,CPR,CRUDEOILM,BUY_CE_CPR,5950,193.7617097421579,5963.0,Narrow CPR (0.111%) bullish breakout
2026-02-23T14:20:57.391898,Ghost Zone,CRUDEOILM,BUY_PE_GTZ,5950,180.77327993274653,5963.0,Ghost Zone: Supply retest
2026-02-23T14:22:16.397379,CPR,GOLDM,BUY_CE_CPR,159200,5627.587432959021,159178.0,Narrow CPR (0.058%) bullish breakout
2026-02-23T14:22:16.411067,CPR,SILVERM,BUY_CE_CPR,266000,9820.40801939888,265800.0,Narrow CPR (0.038%) bullish breakout
2026-02-23T14:22:16.411067,CPR,CRUDEOILM,BUY_CE_CPR,5950,193.7617097421579,5963.0,Narrow CPR (0.111%) bullish breakout
2026-02-23T14:22:16.411067,Ghost Zone,CRUDEOILM,BUY_PE_GTZ,5950,180.77327993274653,5963.0,Ghost Zone: Supply retest
2026-02-23T14:23:39.408731,CPR,GOLDM,BUY_CE_CPR,159200,5634.28344330524,159190.0,Narrow CPR (0.058%) bullish breakout
2026-02-23T14:23:39.409731,CPR,SILVERM,BUY_CE_CPR,266000,9820.40801939888,265800.0,Narrow CPR (0.038%) bullish breakout
2026-02-23T14:23:39.409731,CPR,CRUDEOILM,BUY_CE_CPR,5950,193.7617097421579,5963.0,Narrow CPR (0.111%) bullish breakout
2026-02-23T14:23:39.409731,Ghost Zone,CRUDEOILM,BUY_PE_GTZ,5950,180.77327993274653,5963.0,Ghost Zone: Supply retest
2026-02-23T14:25:04.408831,CPR,GOLDM,BUY_CE_CPR,159200,5667.83746330006,159250.0,Narrow CPR (0.058%) bullish breakout
2026-02-23T14:25:04.408831,CPR,SILVERM,BUY_CE_CPR,266000,9820.40801939888,265800.0,Narrow CPR (0.038%) bullish breakout
2026-02-23T14:25:04.409827,CPR,CRUDEOILM,BUY_CE_CPR,5950,193.7617097421579,5963.0,Narrow CPR (0.111%) bullish breakout
2026-02-23T14:25:04.409827,Ghost Zone,CRUDEOILM,BUY_PE_GTZ,5950,180.77327993274653,5963.0,Ghost Zone: Supply retest
2026-02-23T14:26:29.492804,CPR,GOLDM,BUY_CE_CPR,159300,5647.569806334616,159300.0,Narrow CPR (0.058%) bullish breakout
2026-02-23T14:26:29.492804,CPR,SILVERM,BUY_CE_CPR,266000,9923.72990682681,266000.0,Narrow CPR (0.038%) bullish breakout
2026-02-23T14:26:29.492804,CPR,CRUDEOILM,BUY_CE_CPR,5950,193.7617097421579,5963.0,Narrow CPR (0.111%) bullish breakout
2026-02-23T14:26:29.492804,Ghost Zone,CRUDEOILM,BUY_PE_GTZ,5950,180.77327993274653,5963.0,Ghost Zone: Supply retest
2026-02-23T14:27:48.176039,CPR,GOLDM,BUY_CE_CPR,159300,5669.964074374147,159340.0,Narrow CPR (0.058%) bullish breakout
2026-02-23T14:27:48.176039,CPR,SILVERM,BUY_CE_CPR,266000,10027.69122713876,266200.0,Narrow CPR (0.038%) bullish breakout
2026-02-23T14:27:48.176039,CPR,CRUDEOILM,BUY_CE_CPR,5950,193.7617097421579,5963.0,Narrow CPR (0.111%) bullish breakout
2026-02-23T14:27:48.176039,Ghost Zone,CRUDEOILM,BUY_PE_GTZ,5950,180.77327993274653,5963.0,Ghost Zone: Supply retest
2026-02-23T14:29:08.101659,CPR,GOLDM,BUY_CE_CPR,159400,5634.088461134159,159362.0,Narrow CPR (0.058%) bullish breakout
2026-02-23T14:29:08.101659,CPR,SILVERM,BUY_CE_CPR,266000,9949.66031833944,266050.0,Narrow CPR (0.038%) bullish breakout
2026-02-23T14:29:08.101659,CPR,CRUDEOILM,BUY_CE_CPR,5950,193.7617097421579,5963.0,Narrow CPR (0.111%) bullish breakout
2026-02-23T14:29:08.101659,Ghost Zone,CRUDEOILM,BUY_PE_GTZ,5950,180.77327993274653,5963.0,Ghost Zone: Supply retest
2026-02-23T14:30:33.001327,CPR,GOLDM,BUY_CE_CPR,159300,5664.360381883356,159330.0,Narrow CPR (0.058%) bullish breakout
2026-02-23T14:30:33.002325,CPR,SILVERM,BUY_CE_CPR,266000,9923.72990682681,266000.0,Narrow CPR (0.038%) bullish breakout
2026-02-23T14:30:33.002325,CPR,CRUDEOILM,BUY_CE_CPR,5950,193.7617097421579,5963.0,Narrow CPR (0.111%) bullish breakout
2026-02-23T14:30:33.002325,Ghost Zone,CRUDEOILM,BUY_PE_GTZ,5950,180.77327993274653,5963.0,Ghost Zone: Supply retest
2026-02-23T14:31:55.517912,CPR,GOLDM,BUY_CE_CPR,159400,5637.998781094858,159369.0,Narrow CPR (0.058%) bullish breakout
2026-02-23T14:31:55.517912,CPR,SILVERM,BUY_CE_CPR,266000,9848.757754053628,265855.0,Narrow CPR (0.038%) bullish breakout
2026-02-23T14:31:55.517912,CPR,CRUDEOILM,BUY_CE_CPR,5950,193.7617097421579,5963.0,Narrow CPR (0.111%) bullish breakout
2026-02-23T14:31:55.517912,Ghost Zone,CRUDEOILM,BUY_PE_GTZ,5950,180.77327993274653,5963.0,Ghost Zone: Supply retest
2026-02-23T14:33:19.751282,CPR,GOLDM,BUY_CE_CPR,159400,5648.061577557669,159387.0,Narrow CPR (0.058%) bullish breakout
2026-02-23T14:33:19.751282,CPR,SILVERM,BUY_CE_CPR,266000,9923.72990682681,266000.0,Narrow CPR (0.038%) bullish breakout
